iter	Passed	Remaining
418	2452	3400
419	2457	3394
420	2463	3387
421	2468	3381
422	2474	3374
423	2488	3380
424	2496	3378
425	2505	3375
426	2513	3372
427	2522	3371
428	2530	3367
429	2536	3362
430	2542	3356
431	2547	3349
432	2553	3343
433	2559	3337
434	2567	3334
435	2573	3328
436	2578	3322
437	2584	3315
438	2589	3309
439	2594	3302
440	2599	3295
441	2605	3289
442	2610	3282
443	2616	3276
444	2621	3269
445	2627	3263
446	2632	3257
447	2638	3250
448	2643	3244
449	2649	3237
450	2654	3231
451	2659	3224
452	2665	3218
453	2671	3212
454	2677	3206
455	2683	3200
456	2688	3194
457	2693	3187
458	2698	3180
459	2703	3174
460	2709	3167
461	2714	3161
462	2720	3154
463	2725	3148
464	2731	3142
465	2736	3135
466	2741	3129
467	2747	3122
468	2752	3116
469	2757	3109
470	2762	3103
471	2768	3096
472	2773	3090
473	2778	3083
474	2784	3077
475	2789	3070
476	2795	3064
477	2800	3058
478	2805	3051
479	2811	3045
480	2816	3038
481	2821	3032
482	2826	3025
483	2832	3019
484	2837	3013
485	2844	3008
486	2849	3001
487	2854	2995
488	2861	2990
489	2868	2985
490	2874	2979
491	2880	2973
492	2886	2968
493	2891	2962
494	2896	2955
495	2902	2949
496	2907	2943
497	2913	2936
498	2918	2929
499	2923	2923
500	2928	2917
501	2934	2910
502	2939	2904
503	2945	2898
504	2950	2892
505	2956	2885
506	2961	2879
507	2966	2873
508	2971	2866
509	2977	2860
510	2982	2853
511	2987	2847
512	2993	2841
513	2998	2834
514	3004	2829
515	3009	2822
516	3014	2816
517	3019	2810
518	3024	2803
519	3030	2797
520	3035	2791
521	3041	2784
522	3046	2778
523	3052	2772
524	3057	2766
525	3062	2759
526	3068	2753
527	3073	2747
528	3079	2741
529	3084	2735
530	3089	2728
531	3094	2722
532	3100	2716
533	3105	2710
534	3110	2703
535	3116	2697
536	3121	2691
537	3126	2685
538	3133	2679
539	3138	2673
540	3143	2667
541	3149	2661
542	3155	2655
543	3160	2648
544	3165	2642
545	3170	2636
546	3175	2630
547	3181	2623
548	3186	2617
549	3191	2611
550	3197	2605
551	3202	2599
552	3207	2592
553	3213	2586
554	3218	2580
555	3223	2574
556	3229	2568
557	3234	2562
558	3239	2555
559	3245	2549
560	3250	2543
561	3255	2537
562	3261	2531
563	3266	2525
564	3271	2518
565	3277	2513
566	3282	2507
567	3287	2500
568	3293	2494
569	3298	2488
570	3303	2482
571	3308	2475
572	3314	2469
573	3319	2463
574	3324	2457
575	3330	2451
576	3335	2445
577	3340	2438
578	3345	2432
579	3350	2426
580	3356	2420
581	3361	2414
582	3367	2408
583	3373	2402
584	3378	2396
585	3383	2390
586	3388	2384
587	3394	2378
588	3399	2372
589	3405	2366
590	3410	2360
591	3416	2354
592	3421	2348
593	3427	2342
594	3432	2336
595	3437	2330
596	3443	2324
597	3448	2318
598	3453	2312
599	3459	2306
600	3464	2299
601	3469	2293
602	3474	2287
603	3480	2281
604	3485	2275
605	3491	2269
606	3496	2263
607	3501	2257
608	3507	2251
609	3512	2245
610	3517	2239
611	3522	2233
612	3527	2227
613	3532	2221
614	3538	2214
615	3543	2208
616	3548	2202
617	3553	2196
618	3558	2190
619	3563	2184
620	3569	2178
621	3574	2172
622	3579	2166
623	3585	2160
624	3590	2154
625	3595	2148
626	3601	2142
627	3607	2136
628	3612	2130
629	3618	2124
630	3623	2118
631	3628	2112
632	3633	2106
633	3639	2100
634	3644	2094
635	3649	2088
636	3655	2082
637	3660	2077
638	3666	2071
639	3671	2065
640	3678	2060
641	3684	2054
642	3689	2048
643	3695	2042
644	3700	2036
645	3706	2030
646	3711	2024
647	3716	2018
648	3721	2012
649	3726	2006
650	3732	2000
651	3737	1994
652	3742	1988
653	3747	1982
654	3753	1976
655	3758	1971
656	3764	1965
657	3769	1959
658	3774	1953
659	3780	1947
660	3785	1941
661	3790	1935
662	3795	1929
663	3801	1923
664	3806	1917
665	3811	1911
666	3816	1905
667	3822	1899
668	3827	1893
669	3832	1887
670	3838	1881
671	3843	1876
672	3849	1870
673	3854	1864
674	3859	1858
675	3864	1852
676	3869	1846
677	3875	1840
678	3881	1834
679	3887	1829
680	3892	1823
681	3894	1816
682	3900	1810
683	3905	1804
684	3910	1798
685	3916	1792
686	3922	1786
687	3927	1781
688	3932	1775
689	3938	1769
690	3953	1767
691	3961	1763
692	3971	1759
693	3979	1754
694	3988	1750
695	3997	1745
696	4003	1740
697	4009	1734
698	4014	1728
699	4020	1723
700	4025	1717
701	4031	1711
702	4036	1705
703	4041	1699
704	4047	1693
705	4053	1688
706	4058	1682
707	4064	1676
708	4070	1670
709	4076	1664
710	4081	1659
711	4087	1653
712	4092	1647
713	4098	1641
714	4103	1635
715	4109	1629
716	4115	1624
717	4120	1618
718	4125	1612
719	4131	1606
720	4136	1600
721	4141	1594
722	4147	1588
723	4152	1583
724	4157	1577
725	4163	1571
726	4168	1565
727	4173	1559
728	4179	1553
729	4184	1547
730	4190	1541
731	4195	1536
732	4201	1530
733	4206	1524
734	4212	1518
735	4217	1512
736	4223	1507
737	4228	1501
738	4234	1495
739	4239	1489
740	4245	1483
741	4250	1477
742	4255	1471
743	4261	1466
744	4266	1460
745	4272	1454
746	4278	1448
747	4283	1443
748	4288	1437
749	4294	1431
750	4299	1425
751	4305	1419
752	4310	1413
753	4316	1408
754	4321	1402
755	4326	1396
756	4333	1390
757	4339	1385
758	4345	1379
759	4350	1373
760	4357	1368
761	4362	1362
762	4367	1356
763	4373	1350
764	4378	1344
765	4383	1339
766	4389	1333
767	4394	1327
768	4399	1321
769	4405	1315
770	4410	1309
771	4415	1304
772	4420	1298
773	4426	1292
774	4431	1286
775	4436	1280
776	4441	1274
777	4447	1269
778	4452	1263
779	4457	1257
780	4462	1251
781	4468	1245
782	4473	1239
783	4478	1233
784	4484	1228
785	4489	1222
786	4494	1216
787	4500	1210
788	4505	1204
789	4510	1199
790	4516	1193
791	4521	1187
792	4526	1181
793	4531	1175
794	4536	1169
795	4542	1164
796	4548	1158
797	4553	1152
798	4559	1146
799	4564	1141
800	4569	1135
801	4575	1129
802	4580	1123
803	4585	1117
804	4591	1112
805	4596	1106
806	4601	1100
807	4606	1094
808	4611	1088
809	4617	1083
810	4622	1077
811	4627	1071
812	4633	1065
813	4639	1060
814	4644	1054
815	4650	1048
816	4657	1043
817	4665	1037
818	4670	1032
819	4676	1026
820	4682	1020
821	4688	1015
822	4693	1009
823	4698	1003
824	4704	997
825	4709	992
826	4714	986
827	4720	980
828	4725	974
829	4730	968
830	4736	963
831	4741	957
832	4746	951
833	4751	945
834	4757	940
835	4763	934
836	4768	928
837	4773	922
838	4778	917
839	4784	911
840	4790	905
841	4795	899
842	4800	894
843	4806	888
844	4811	882
845	4817	876
846	4822	871
847	4827	865
848	4832	859
849	4838	853
850	4843	847
851	4848	842
852	4854	836
853	4859	830
854	4866	825
855	4871	819
856	4876	813
857	4881	807
858	4887	802
859	4892	796
860	4897	790
861	4902	784
862	4907	779
863	4913	773
864	4918	767
865	4924	761
866	4930	756
867	4935	750
868	4941	744
869	4946	739
870	4951	733
871	4956	727
872	4962	721
873	4967	716
874	4972	710
875	4978	704
876	4983	698
877	4988	693
878	4993	687
879	4998	681
880	5004	675
881	5009	670
882	5014	664
883	5019	658
884	5025	653
