iter	Logloss
0	0.6862209824
1	0.6798516428
2	0.6734531718
3	0.6674255396
4	0.6614792597
5	0.6557368533
6	0.6489099615
7	0.6435317108
8	0.6390476806
9	0.632918903
10	0.6273550675
11	0.6217103122
12	0.616694018
13	0.6124095731
14	0.6070294429
15	0.6005506825
16	0.5962194282
17	0.5900886527
18	0.5845080659
19	0.578552641
20	0.5734475718
21	0.5681209402
22	0.5646720256
23	0.5591672876
24	0.5547474065
25	0.5498502548
26	0.5452624478
27	0.5406617135
28	0.5356546756
29	0.53154105
30	0.5276822749
31	0.5233236117
32	0.5191492307
33	0.5152113631
34	0.5110436447
35	0.5070045061
36	0.5028143416
37	0.4982511153
38	0.4943516462
39	0.4903188745
40	0.4872399859
41	0.4841036882
42	0.4808003921
43	0.4772116422
44	0.4735630399
45	0.4705570941
46	0.4673830907
47	0.4641748704
48	0.4604245773
49	0.4574818286
50	0.4548439349
51	0.4516003899
52	0.4470587172
53	0.4435629392
54	0.4409307581
55	0.4376347963
56	0.4345311526
57	0.4311104739
58	0.4281777156
59	0.4244551536
60	0.4211130913
61	0.4174585213
62	0.414563263
63	0.4117139942
64	0.4089854174
65	0.4055193185
66	0.4026728528
67	0.3994135834
68	0.3968935212
69	0.3939754503
70	0.3912574043
71	0.3891800398
72	0.3861800851
73	0.3835570201
74	0.3812314557
75	0.3787513711
76	0.376427673
77	0.3743070105
78	0.3717224998
79	0.3686549272
80	0.3665264898
81	0.3637454998
82	0.3611671826
83	0.3585525759
84	0.3563169136
85	0.3544528431
86	0.3521403089
87	0.3495701845
88	0.3469126502
89	0.3440493066
90	0.3415770467
91	0.3393572206
92	0.3372526462
93	0.3353269527
94	0.3330670283
95	0.3304383281
96	0.3288421239
97	0.3264291711
98	0.3245373759
99	0.3230368166
100	0.3209177758
101	0.3183625305
102	0.3158621806
103	0.313942608
104	0.3121501472
105	0.3098438574
106	0.3073877786
107	0.3055851909
108	0.3033521855
109	0.3013156987
110	0.2996375138
111	0.2972328825
112	0.296095244
113	0.2946857068
114	0.2932424467
115	0.2916846694
116	0.2903912266
117	0.2882651737
118	0.2864692377
119	0.2850151872
120	0.2839688198
121	0.2820393114
122	0.2801709694
123	0.2787100407
124	0.2769733103
125	0.2752005775
126	0.2736012423
127	0.2717179483
128	0.2701589064
129	0.2686507807
130	0.2671105008
131	0.2658148503
132	0.2635902267
133	0.2620309259
134	0.2604642177
135	0.2593887985
136	0.2581439954
137	0.2567945573
138	0.2556306639
139	0.2540827509
140	0.2530385559
141	0.2515929999
142	0.2500289369
143	0.2484439845
144	0.2469017906
145	0.2457827018
146	0.2444757476
147	0.243631928
148	0.2424785658
149	0.2410062289
150	0.2397617264
151	0.2386312733
152	0.2379468152
153	0.236674419
154	0.2352524563
155	0.2342470176
156	0.2329503589
157	0.2318228924
158	0.2305423688
159	0.22895506
160	0.2281974737
161	0.2267968907
162	0.225903137
163	0.2247801982
164	0.2237142
165	0.2225100194
166	0.2216991964
167	0.2207965321
168	0.2196276118
169	0.2183099538
170	0.217188482
171	0.2160701046
172	0.2148483257
173	0.2138438615
174	0.2125244231
175	0.2114687815
176	0.2102008264
177	0.2092089312
178	0.2082636878
179	0.2071806601
180	0.2062359361
181	0.2054080778
182	0.2040908874
183	0.2030866511
184	0.2019290961
185	0.2007534795
186	0.1999650297
187	0.1989932791
188	0.1979265094
189	0.197068635
190	0.1960818636
191	0.1952345154
192	0.1944553105
193	0.1936955538
194	0.1928146571
195	0.1917718733
196	0.1909756648
197	0.1901000683
198	0.1892416966
199	0.1882347728
200	0.1874107276
201	0.1864316439
202	0.1855175429
203	0.1847151668
204	0.1838790923
205	0.1831646122
206	0.1822893743
207	0.1816355037
208	0.1809487696
209	0.1802227452
210	0.1796070832
211	0.1786411699
212	0.1776046293
213	0.1767778175
214	0.1760964414
215	0.1751226932
216	0.1744432298
217	0.1737742514
218	0.1728103497
219	0.1718786805
220	0.1711185586
221	0.1702778672
222	0.1691977547
223	0.1685047695
224	0.1680875009
225	0.1673820171
226	0.1670315479
227	0.1659692922
228	0.1652777515
229	0.1648283448
230	0.1640837989
231	0.1634640821
232	0.1630026342
233	0.1621666234
234	0.161218518
235	0.1604072604
